state,year,population
KY,2017,4452268
KY,2018,4461153
KY,2019,4467673
LA,2010,4544532
LA,2011,4575625
LA,2012,4600972
LA,2013,4624527
LA,2014,4644013
LA,2015,4664628
LA,2016,4678135
LA,2017,4670560
LA,2018,4659690
LA,2019,4648794
MA,2010,6566307
MA,2011,6613583
MA,2012,6663005
MA,2013,6713315
MA,2014,6762596
MA,2015,6794228
MA,2016,6823608
MA,2017,6859789
MA,2018,6882635
MA,2019,6892503
MD,2010,5788645
MD,2011,5839419
MD,2012,5886992
MD,2013,5923188
MD,2014,5957283
MD,2015,5985562
MD,2016,6003323
MD,2017,6023868
MD,2018,6035802
MD,2019,6045680
ME,2010,1327629
ME,2011,1328284
ME,2012,1327729
ME,2013,1328009
ME,2014,1330513
ME,2015,1328262
ME,2016,1331317
ME,2017,1334612
ME,2018,1339057
ME,2019,1344212
MI,2010,9877510
MI,2011,9882412
MI,2012,9897145
MI,2013,9913065
MI,2014,9929848
MI,2015,9931715
MI,2016,9950571
MI,2017,9973114
MI,2018,9984072
MI,2019,9986857
MN,2010,5310828
MN,2011,5346143
MN,2012,5376643
MN,2013,5413479
MN,2014,5451079
MN,2015,5482032
MN,2016,5522744
MN,2017,5566230
MN,2018,5606249
MN,2019,5639632
MO,2010,5995974
MO,2011,6010275
MO,2012,6024367
MO,2013,6040715
MO,2014,6056202
MO,2015,6071732
MO,2016,6087135
MO,2017,6106670
MO,2018,6121623
MO,2019,6137428
MS,2010,2970548
MS,2011,2978731
MS,2012,2983816
MS,2013,2988711
MS,2014,2990468
MS,2015,2988471
MS,2016,2987938
MS,2017,2988510
MS,2018,2981020
MS,2019,2976149
MT,2010,990697
MT,2011,997316
MT,2012,1003783
MT,2013,1013569
MT,2014,1021869
MT,2015,1030475
MT,2016,1040859
MT,2017,1052482
MT,2018,1060665
MT,2019,1068778
NC,2010,9574323
NC,2011,9657592
NC,2012,9749476
NC,2013,9843336
NC,2014,9932887
NC,2015,10031646
NC,2016,10154788
NC,2017,10268233
NC,2018,10381615
NC,2019,10488084
ND,2010,674715
ND,2011,685225
ND,2012,701176
ND,2013,722036
ND,2014,737401
ND,2015,754066
ND,2016,754434
ND,2017,754942
ND,2018,758080
ND,2019,762062
NE,2010,1829542
NE,2011,1840672
NE,2012,1853303
NE,2013,1865279
NE,2014,1879321
NE,2015,1891277
NE,2016,1905616
NE,2017,1915947
NE,2018,1925614
NE,2019,1934408
NH,2010,1316762
NH,2011,1320202
NH,2012,1324232
NH,2013,1326622
NH,2014,1333341
NH,2015,1336350
NH,2016,1342307
NH,2017,1348787
NH,2018,1353465
NH,2019,1359711
NJ,2010,8799446
NJ,2011,8828117
NJ,2012,8844942
NJ,2013,8856972
NJ,2014,8864525
NJ,2015,8867949
NJ,2016,8870827
NJ,2017,8885525
NJ,2018,8886025
NJ,2019,8882190
NM,2010,2064552
NM,2011,2080450
NM,2012,2087309
NM,2013,2092273
NM,2014,2089568
NM,2015,2089291
NM,2016,2091630
NM,2017,2091784
NM,2018,2092741
NM,2019,2096829
NV,2010,2702405
NV,2011,2712730
NV,2012,2743996
NV,2013,2775970
NV,2014,2817628
NV,2015,2866939
NV,2016,2917563
NV,2017,2969905
NV,2018,3027341
NV,2019,3080156
NY,2010,19399878
NY,2011,19499241
NY,2012,19572932
NY,2013,19624447
NY,2014,19651049
NY,2015,19654666
NY,2016,19633428
NY,2017,19589572
NY,2018,19530351
NY,2019,19453561
OH,2010,11539336
OH,2011,11544663
OH,2012,11548923
OH,2013,11576684
OH,2014,11602700
OH,2015,11617527
OH,2016,11634370
OH,2017,11659650
OH,2018,11676341
OH,2019,11689100
OK,2010,3759944
OK,2011,3788379
OK,2012,3818814
OK,2013,3853214
OK,2014,3878187
OK,2015,3909500
OK,2016,3926331
OK,2017,3931316
OK,2018,3940235
OK,2019,3956971
OR,2010,3837491
OR,2011,3872036
OR,2012,3899001
OR,2013,3922468
OR,2014,3963244
OR,2015,4015792
OR,2016,4089976
OR,2017,4143625
OR,2018,4181886
OR,2019,4217737
PA,2010,12711160
PA,2011,12745815
PA,2012,12767118
PA,2013,12776309
PA,2014,12788313
PA,2015,12784826
PA,2016,12782275
PA,2017,12787641
PA,2018,12800922
PA,2019,12801989
RI,2010,1053959
RI,2011,1053649
RI,2012,1054621
RI,2013,1055081
RI,2014,1055936
RI,2015,1056065
RI,2016,1056770
RI,2017,1055673
RI,2018,1058287
RI,2019,1059361
SC,2010,4635649
SC,2011,4671994
SC,2012,4717354
SC,2013,4764080
SC,2014,4823617
SC,2015,4891938
SC,2016,4957968
SC,2017,5021268
SC,2018,5084156
SC,2019,5148714
SD,2010,816166
SD,2011,823579
SD,2012,833566
SD,2013,842316
SD,2014,849129
SD,2015,853988
SD,2016,862996
SD,2017,872868
SD,2018,878698
SD,2019,884659
TN,2010,6355311
TN,2011,6399291
TN,2012,6453898
TN,2013,6494340
TN,2014,6541223
TN,2015,6591170
TN,2016,6646010
TN,2017,6708799
TN,2018,6771631
TN,2019,6829174
TX,2010,25241971
TX,2011,25645629
TX,2012,26084481
TX,2013,26480266
TX,2014,26964333
TX,2015,27470056
TX,2016,27914410
TX,2017,28295273
TX,2018,28628666
TX,2019,28995881
UT,2010,2775332
UT,2011,2814384
UT,2012,2853375
UT,2013,2897640
UT,2014,2936879
UT,2015,2981835
UT,2016,3041868
UT,2017,3101042
UT,2018,3153550
UT,2019,3205958
VA,2010,8023699
VA,2011,8101155
VA,2012,8185080
VA,2013,8252427
VA,2014,8310993
VA,2015,8361808
VA,2016,8410106
VA,2017,8463587
VA,2018,8501286
VA,2019,8535519
VT,2010,625879
VT,2011,627049
VT,2012,626090
VT,2013,626210
VT,2014,625214
VT,2015,625216
VT,2016,623657
VT,2017,624344
VT,2018,624358
VT,2019,623989
WA,2010,6742830
WA,2011,6826627
WA,2012,6897058
WA,2013,6963985
WA,2014,7054655
WA,2015,7163657
WA,2016,7294771
WA,2017,7423362
WA,2018,7523869
WA,2019,7614893
WI,2010,5690475
WI,2011,5705288
WI,2012,5719960
WI,2013,5736754
WI,2014,5751525
WI,2015,5760940
WI,2016,5772628
WI,2017,5790186
WI,2018,5807406
WI,2019,5822434
WV,2010,1854239
WV,2011,1856301
WV,2012,1856872
WV,2013,1853914
WV,2014,1849489
WV,2015,1842050
WV,2016,1831023
WV,2017,1817004
WV,2018,1804291
WV,2019,1792147
WY,2010,564487
WY,2011,567299
WY,2012,576305
WY,2013,582122
WY,2014,582531
WY,2015,585613
WY,2016,584215
WY,2017,578931
WY,2018,577601
WY,2019,578759
